Comp,Event,Date,Time,Inst,Ptimepick,Stimepick
manual,21,19/10/2023,00:38:32,1,12.67,14.58
manual,21,19/10/2023,00:38:32,2,12.6,14.45
manual,21,19/10/2023,00:38:32,3,15.86,19.86
manual,21,19/10/2023,00:38:32,4,15.75,19.79
manual,21,19/10/2023,00:38:32,5,13.95,16.83
manual,21,19/10/2023,00:38:32,6,13.85,16.67
manual,21,19/10/2023,00:38:32,7,12.72,14.61
manual,21,19/10/2023,00:38:32,9,12.41,14.11
manual,21,19/10/2023,00:38:32,10,12.32,13.96
manual,1,20/10/2023,13:04:36,1,12.69,14.44
manual,1,20/10/2023,13:04:36,2,12.52,14.28
manual,1,20/10/2023,13:04:36,3,16.23,20.45
manual,1,20/10/2023,13:04:36,4,16.16,20.35
manual,1,20/10/2023,13:04:36,5,14.08,17.07
manual,1,20/10/2023,13:04:36,6,14.0,16.9
manual,1,20/10/2023,13:04:36,7,12.72,14.62
manual,1,20/10/2023,13:04:36,8,12.65,14.47
manual,1,20/10/2023,13:04:36,9,12.39,14.09
manual,1,20/10/2023,13:04:36,10,12.31,13.93
manual,18,20/10/2023,19:54:50,1,14.18,17.28
manual,18,20/10/2023,19:54:50,2,14.19,17.14
manual,18,20/10/2023,19:54:50,3,,
manual,18,20/10/2023,19:54:50,4,,
manual,18,20/10/2023,19:54:50,5,11.3,12.12
manual,18,20/10/2023,19:54:50,6,11.11,11.94
manual,18,20/10/2023,19:54:50,7,12.28,13.94
manual,18,20/10/2023,19:54:50,8,12.22,13.82
manual,18,20/10/2023,19:54:50,9,,
manual,18,20/10/2023,19:54:50,10,,
manual,69,21/10/2023,07:13:45,1,14.05,17.18
manual,69,21/10/2023,07:13:45,2,14.11,17.1
manual,69,21/10/2023,07:13:45,3,,
manual,69,21/10/2023,07:13:45,4,,
manual,69,21/10/2023,07:13:45,5,11.66,12.85
manual,69,21/10/2023,07:13:45,6,11.54,12.64
manual,69,21/10/2023,07:13:45,7,12.52,14.22
manual,69,21/10/2023,07:13:45,8,12.03,14.07
manual,69,21/10/2023,07:13:45,9,,15.28
manual,69,21/10/2023,07:13:45,10,13.0,15.15
manual,56,22/10/2023,04:44:05,1,18.51,24.58
manual,56,22/10/2023,04:44:05,2,18.52,24.52
manual,56,22/10/2023,04:44:05,3,15.25,19.02
manual,56,22/10/2023,04:44:05,4,15.17,18.94
manual,56,22/10/2023,04:44:05,5,15.35,19.29
manual,56,22/10/2023,04:44:05,6,15.27,19.11
manual,56,22/10/2023,04:44:05,7,17.07,22.31
manual,56,22/10/2023,04:44:05,8,17.08,22.23
manual,56,22/10/2023,04:44:05,9,,22.95
manual,56,22/10/2023,04:44:05,10,17.57,22.88
manual,30,22/10/2023,10:24:05,1,15.26,19.1
manual,30,22/10/2023,10:24:05,2,15.24,19.01
manual,30,22/10/2023,10:24:05,3,21.4,
manual,30,22/10/2023,10:24:05,4,21.29,
manual,30,22/10/2023,10:24:05,5,11.9,13.27
manual,30,22/10/2023,10:24:05,6,11.77,13.07
manual,30,22/10/2023,10:24:05,7,13.26,15.6
manual,30,22/10/2023,10:24:05,8,13.19,15.51
manual,30,22/10/2023,10:24:05,9,13.99,17.03
manual,30,22/10/2023,10:24:05,10,14.03,16.97
manual,82,24/10/2023,01:46:11,1,12.53,14.4
manual,82,24/10/2023,01:46:11,2,12.49,14.3
manual,82,24/10/2023,01:46:11,3,19.2,
manual,82,24/10/2023,01:46:11,4,19.1,
manual,82,24/10/2023,01:46:11,5,13.6,16.21
manual,82,24/10/2023,01:46:11,6,13.42,15.81
manual,82,24/10/2023,01:46:11,7,12.52,14.24
manual,82,24/10/2023,01:46:11,8,12.43,14.11
manual,82,24/10/2023,01:46:11,9,,
manual,82,24/10/2023,01:46:11,10,,
manual,27,24/10/2023,16:56:22,1,14.2,17.28
manual,27,24/10/2023,16:56:22,2,14.17,17.18
manual,27,24/10/2023,16:56:22,3,15.04,18.66
manual,27,24/10/2023,16:56:22,4,14.96,18.55
manual,27,24/10/2023,16:56:22,5,12.21,13.85
manual,27,24/10/2023,16:56:22,6,12.1,13.66
manual,27,24/10/2023,16:56:22,7,12.83,14.88
manual,27,24/10/2023,16:56:22,8,12.75,14.77
manual,27,24/10/2023,16:56:22,9,13.25,15.57
manual,27,24/10/2023,16:56:22,10,13.18,15.49
manual,55,24/10/2023,17:30:25,1,14.63,18.08
manual,55,24/10/2023,17:30:25,2,14.63,17.95
manual,55,24/10/2023,17:30:25,3,,
manual,55,24/10/2023,17:30:25,4,,
manual,55,24/10/2023,17:30:25,5,12.37,14.07
manual,55,24/10/2023,17:30:25,6,12.27,13.84
manual,55,24/10/2023,17:30:25,7,12.76,14.86
manual,55,24/10/2023,17:30:25,8,12.69,14.72
manual,55,24/10/2023,17:30:25,9,,
manual,55,24/10/2023,17:30:25,10,,
manual,8,28/10/2023,15:03:15,1,14.6,18.01
manual,8,28/10/2023,15:03:15,2,14.59,17.93
manual,8,28/10/2023,15:03:15,3,21.12,
manual,8,28/10/2023,15:03:15,4,21.0,
manual,8,28/10/2023,15:03:15,5,12.03,13.53
manual,8,28/10/2023,15:03:15,6,11.92,13.32
manual,8,28/10/2023,15:03:15,7,12.78,14.82
manual,8,28/10/2023,15:03:15,8,12.72,14.61
manual,8,28/10/2023,15:03:15,9,13.52,16.08
manual,8,28/10/2023,15:03:15,10,13.47,16.0
manual,47,29/10/2023,23:39:16,1,14.4,17.62
manual,47,29/10/2023,23:39:16,2,14.37,17.54
manual,47,29/10/2023,23:39:16,3,16.7,21.58
manual,47,29/10/2023,23:39:16,4,16.67,21.43
manual,47,29/10/2023,23:39:16,5,11.61,12.77
manual,47,29/10/2023,23:39:16,6,11.53,12.65
manual,47,29/10/2023,23:39:16,7,12.29,13.97
manual,47,29/10/2023,23:39:16,8,12.23,13.87
manual,47,29/10/2023,23:39:16,9,13.21,15.55
manual,47,29/10/2023,23:39:16,10,13.15,15.46
manual,13,01/11/2023,21:47:23,1,,
manual,13,01/11/2023,21:47:23,2,14.34,17.46
manual,13,01/11/2023,21:47:23,3,,
manual,13,01/11/2023,21:47:23,4,,
manual,13,01/11/2023,21:47:23,5,11.85,13.22
manual,13,01/11/2023,21:47:23,6,11.74,13.02
manual,13,01/11/2023,21:47:23,7,12.81,14.84
manual,13,01/11/2023,21:47:23,8,12.75,14.7
manual,13,01/11/2023,21:47:23,9,,
manual,13,01/11/2023,21:47:23,10,,
manual,41,02/11/2023,02:29:36,1,15.35,19.26
manual,41,02/11/2023,02:29:36,2,15.35,19.21
manual,41,02/11/2023,02:29:36,3,,
